dt,ncol,lon,lat,pres,wspd,year,month,day,hour,mdstr,doy,stmnum,isgen,islys
2005-02-02 12:00:00,463450.0,282.542712,5.857814,101171.4,20.89175,2005.0,02,02,12.0,2-2,33.0,0,True,False
2005-02-02 18:00:00,463421.0,280.5,5.696357,101149.3,22.54085,2005.0,02,02,18.0,2-2,33.0,0,False,False
2005-02-03 00:00:00,464476.0,278.79271,6.134908,101278.9,24.13331,2005.0,02,03,0.0,2-3,34.0,0,False,False
2005-02-03 06:00:00,464451.0,276.207296,6.504681,101262.3,21.09611,2005.0,02,03,6.0,2-3,34.0,0,False,False
2005-02-03 12:00:00,464426.0,274.5,6.522713,100254.9,32.7747,2005.0,02,03,12.0,2-3,34.0,0,False,False
2005-02-03 18:00:00,465480.0,272.457294,6.950959,100618.7,33.01236,2005.0,02,03,18.0,2-3,34.0,0,False,False
2005-02-04 00:00:00,465461.0,270.75,7.499365,100687.2,28.32132,2005.0,02,04,0.0,2-4,35.0,0,False,False
2005-02-04 06:00:00,465443.0,269.25,7.499365,100791.0,25.77937,2005.0,02,04,6.0,2-4,35.0,0,False,False
2005-02-04 12:00:00,465425.0,267.75,7.494284,100876.6,25.6888,2005.0,02,04,12.0,2-4,35.0,0,False,False
2005-02-04 18:00:00,465406.0,266.042705,7.482321,100883.5,27.37871,2005.0,02,04,18.0,2-4,35.0,0,False,False
2005-02-05 00:00:00,466458.0,264.20729,7.668408,100942.1,21.85883,2005.0,02,05,0.0,2-5,36.0,0,False,False
2005-02-05 06:00:00,466433.0,262.5,7.642143,101213.7,22.32983,2005.0,02,05,6.0,2-5,36.0,0,False,False
2005-02-05 12:00:00,466414.0,260.792701,7.609169,101212.1,23.06872,2005.0,02,05,12.0,2-5,36.0,0,False,False
2005-02-05 18:00:00,466391.0,258.75,7.890144,101209.9,24.64806,2005.0,02,05,18.0,2-5,36.0,0,False,False
2005-02-06 00:00:00,,,,,,,,,,,,0,False,False
2005-02-06 06:00:00,,,,,,,,,,,,0,False,False
2005-02-06 12:00:00,467405.0,253.5,8.435963,101225.8,23.17815,2005.0,02,06,12.0,2-6,37.0,0,False,False
2005-02-06 18:00:00,467390.0,252.0,8.566207,101377.4,23.62998,2005.0,02,06,18.0,2-6,37.0,0,False,True
2005-02-05 00:00:00,169011.0,89.25,-17.998557,101293.1,14.7507,2005.0,02,05,0.0,2-5,36.0,1,True,False
2005-02-05 06:00:00,169015.0,89.457292,-18.20653,101286.8,12.31078,2005.0,02,05,6.0,2-5,36.0,1,False,False
2005-02-05 12:00:00,167944.0,90.207294,-18.957178,101328.2,14.20537,2005.0,02,05,12.0,2-5,36.0,1,False,False
2005-02-05 18:00:00,167945.0,90.542708,-18.956503,101342.3,15.12758,2005.0,02,05,18.0,2-5,36.0,1,False,False
2005-02-06 00:00:00,167953.0,90.957297,-18.954836,101255.7,17.79254,2005.0,02,06,0.0,2-6,37.0,1,False,False
2005-02-06 06:00:00,169032.0,91.5,-18.536788,101229.3,16.75173,2005.0,02,06,6.0,2-6,37.0,1,False,False
2005-02-06 12:00:00,169050.0,93.0,-18.519031,101098.8,16.23503,2005.0,02,06,12.0,2-6,37.0,1,False,False
2005-02-06 18:00:00,169059.0,93.75,-18.505715,100976.6,15.11253,2005.0,02,06,18.0,2-6,37.0,1,False,False
2005-02-07 00:00:00,169073.0,94.29272,-17.952749,100961.3,16.49168,2005.0,02,07,0.0,2-7,38.0,1,False,False
2005-02-07 06:00:00,169084.0,95.457312,-18.464375,100969.9,17.08201,2005.0,02,07,6.0,2-7,38.0,1,False,False
2005-02-07 12:00:00,168019.0,96.207315,-18.647692,100926.3,18.07098,2005.0,02,07,12.0,2-7,38.0,1,False,False
